Symbol,Sector,Mktcap,EMA_21,EMA_50,ADX,RSI
KPIGREEN,Power - Green - IPP,SmallCap,506.68,483.68,28.4,58.0
NITCO,Infra - Ceramics/Granites,SmallCap,144.64,137.72,28.72,53.81
KIRLPNU,Industrial - Pumps/Engines,SmallCap,1396.89,1332.91,33.27,53.97
JSL,Metals - Iron & Steel,MidCap,684.21,666.62,20.8,51.54
RAINBOW,Healthcare - Hospitals,SmallCap,1508.74,1460.69,29.85,54.98
VTL,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,493.5,484.5,27.21,54.47
BLISSGVS,Healthcare - Formulations,SmallCap,151.13,142.39,36.51,57.08
INDRAMEDCO,Healthcare - Hospitals,SmallCap,463.85,440.34,36.68,63.79
TRITURBINE,Power - Equipment,SmallCap,622.11,600.9,43.98,65.14
MUFTI,Textiles - Fashion Retail,SmallCap,167.88,161.33,21.65,54.02
SCI,Transport - Shipping,SmallCap,220.79,209.13,29.4,53.42
MOTILALOFS,Financials - Broking,MidCap,882.43,826.51,39.74,67.94
MONARCH,Financials - Broking,SmallCap,346.18,334.29,35.76,66.39
KSL,Metals - Iron & Steel,SmallCap,905.18,859.8,45.27,54.61
DIXON,Consumption - Electronics,MidCap,15099.64,15013.6,22.0,64.02
LAXMIDENTL,Healthcare - Equipments,SmallCap,424.77,418.24,23.26,53.74
AEROFLEX,Metals - Pipe & Tube,SmallCap,194.7,186.07,33.84,57.95
VENUSPIPES,Metals - Pipe & Tube,SmallCap,1467.99,1408.81,30.31,69.96
BLUESTARCO,Consumption - Appliances,MidCap,1727.08,1715.43,25.68,64.89
MANINDS,Metals - Pipe & Tube,SmallCap,407.44,375.36,40.81,61.68
HONAUT,Electronics - Automation,MidCap,39533.92,38367.0,29.77,60.28
STERTOOLS,Auto - Drivetrain,SmallCap,355.37,349.92,25.03,51.45
BOROSCI,Industrial Products - Glass,SmallCap,156.35,148.67,42.17,56.26
CRAFTSMAN,Auto - Electricals & Electronics,SmallCap,5663.06,5423.18,34.22,69.38
ADANIPOWER,Power - Generation,LargeCap,581.68,564.9,26.61,65.82
BALKRISIND,Auto - Tyres,MidCap,2543.49,2539.18,31.24,69.87
AMBER,Consumption - Appliances,SmallCap,7103.29,6797.08,39.12,64.8
GIPCL,Power - Generation,SmallCap,210.01,202.24,31.81,55.59
INOXINDIA,Industrial Products - Misc,SmallCap,1222.74,1176.69,27.3,55.21
WOCKPHARMA,Healthcare - Formulations,SmallCap,1681.23,1584.45,34.98,59.65
MRF,Auto - Tyres,MidCap,143105.12,138522.97,33.14,64.39
RATNAMANI,Metals - Pipe & Tube,SmallCap,2879.69,2836.2,21.67,53.68
KRN,Industrial Products - Misc,SmallCap,850.16,820.59,29.85,59.14
HARIOMPIPE,Metals - Pipe & Tube,SmallCap,420.0,406.36,31.27,65.86
CANTABIL,Textiles - Fashion Retail,SmallCap,266.35,258.58,23.13,66.45
SHARDAMOTR,Auto - Electricals & Electronics,SmallCap,1018.38,959.81,42.22,57.18
VGUARD,Consumption - Appliances,SmallCap,386.65,379.6,27.06,63.2
DECCANCE,Infra - Cement,SmallCap,852.57,812.01,38.48,61.31
BEL,Defense - Technology & Electronics,LargeCap,411.29,386.1,32.03,52.1
MARATHON,Real Estate,SmallCap,645.18,593.72,46.65,67.26
USHAMART,Metals - Wires,SmallCap,350.99,334.63,48.78,69.77
MGL,Utility - Gas Distribution,SmallCap,1464.96,1417.89,24.75,56.65
TVSSRICHAK,Auto - Tyres,SmallCap,3108.2,3030.88,31.04,54.76
ARIHANTSUP,Real Estate,SmallCap,392.33,385.63,31.24,69.09
BHARATWIRE,Metals - Wires,SmallCap,214.43,205.51,31.32,58.28
SHARDACROP,Agrochem - Pesticides,SmallCap,817.6,753.91,41.77,54.71
EKC,Industrial Products - Misc,SmallCap,136.6,133.73,23.67,50.41
RPGLIFE,Healthcare - Formulations,SmallCap,2452.64,2343.46,42.04,59.57
TORNTPHARM,Healthcare - Formulations,LargeCap,3298.4,3258.74,24.29,53.58
IGL,Utility - Gas Distribution,MidCap,216.32,209.91,21.79,54.59
NH,Healthcare - Hospitals,SmallCap,1975.2,1885.05,43.08,55.35
TIMKEN,Industrial Products - Bearings,SmallCap,3320.33,3177.61,28.81,55.34
TANLA,IT - Product - Software,SmallCap,636.82,609.23,24.17,50.12
WELCORP,Metals - Pipe & Tube,SmallCap,917.45,884.69,24.27,50.01
JLHL,Healthcare - Hospitals,SmallCap,1491.87,1485.09,25.12,51.83
DODLA,Consumption - Dairy,SmallCap,1389.85,1312.56,47.3,58.77
