Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,CMF_52D_High
FOSECOIND,Chemicals - Specialty - Misc,SmallCap,0.24,0.26,0.27,0.26,0.24,0.24,0.23,0.22,0.22,0.21,0.41
FSL,Tech - BPO,SmallCap,0.22,0.2,0.07,0.07,-0.13,-0.09,-0.07,-0.01,-0.01,0.03,0.23
FUSION,Financials - MFI,SmallCap,0.05,0.07,0.06,0.11,0.07,0.11,0.06,0.1,0.17,0.14,0.17
GABRIEL,Auto - Suspension & Axles,SmallCap,0.23,0.2,0.18,0.17,0.16,0.16,0.19,0.14,0.06,0.14,0.33
GAEL,Agri - Misc,SmallCap,-0.21,-0.18,-0.16,-0.15,-0.14,-0.13,-0.09,0.07,0.02,0.02,0.07
GEOJITFSL,Financials - Broking,SmallCap,-0.04,0.08,0.07,0.07,0.03,0.02,-0.0,0.0,-0.04,0.02,0.08
GEPIL,Power - Equipment,SmallCap,0.2,0.21,0.21,0.22,0.19,0.19,0.04,0.12,0.09,0.16,0.34
GLAND,Healthcare - CRAMS/CDMO,MidCap,-0.27,-0.28,-0.28,-0.01,-0.03,0.09,0.05,0.11,0.16,0.14,0.23
GLAXO,Healthcare - Formulations - OTC,MidCap,0.06,0.12,0.17,0.18,0.21,0.23,0.23,0.28,0.11,0.07,0.28
GLENMARK,Healthcare - Formulations - Generic,MidCap,-0.14,-0.04,-0.05,0.01,-0.03,0.06,0.08,0.09,0.1,0.06,0.25
GMBREW,Beverages - Alcohol,SmallCap,-0.06,-0.06,-0.06,-0.07,-0.11,-0.05,-0.05,-0.05,0.03,0.06,0.06
GMDCLTD,Mining - Coal/Minerals,SmallCap,0.04,0.03,-0.01,0.26,0.28,0.27,0.2,0.06,0.18,0.15,0.4
GMRP&UI,Infra - Heavy Engineering,SmallCap,0.06,0.02,0.02,-0.01,-0.08,-0.13,-0.19,-0.25,-0.28,0.04,0.14
GNA,Auto - Suspension & Axles,SmallCap,0.11,0.11,0.09,0.08,0.08,0.09,0.05,0.04,0.05,0.05,0.15
GODREJCP,Consumption - Personal,LargeCap,0.04,0.02,-0.03,-0.05,-0.08,0.0,-0.0,0.04,0.02,0.05,0.33
GODREJIND,Chemicals - Diversified,MidCap,0.15,0.15,0.14,0.14,0.16,0.18,0.18,0.18,0.15,0.14,0.34
GOKULAGRO,Agri - Edible Oils,SmallCap,0.02,0.01,-0.04,-0.03,-0.03,-0.04,-0.06,0.01,0.07,0.23,0.23
GOODLUCK,Metals - Pipe & Tube,SmallCap,0.11,0.12,0.13,0.17,0.25,0.32,0.14,0.03,0.03,0.03,0.32
GPIL,Metals - Iron & Steel,SmallCap,0.11,0.12,0.09,0.09,0.06,0.07,0.06,0.05,0.0,0.23,0.42
GPPL,Infra - Ports,SmallCap,-0.15,-0.12,-0.15,-0.12,-0.12,-0.17,-0.17,-0.18,0.15,0.16,0.16
GRANULES,Healthcare - API/Drug,SmallCap,0.0,0.01,0.01,0.01,-0.01,0.0,0.01,-0.0,0.01,0.03,0.05
GREAVESCOT,Industrial - Pumps/Engines,SmallCap,0.04,0.0,0.06,0.05,0.01,0.01,-0.01,-0.04,-0.04,0.02,0.09
GREENPANEL,Infra - Laminates,SmallCap,-0.26,-0.34,-0.34,-0.19,-0.19,-0.14,-0.16,0.73,0.45,0.43,0.73
GREENPLY,Infra - Laminates,SmallCap,-0.11,-0.14,-0.17,-0.17,-0.32,-0.33,-0.33,0.05,0.05,0.1,0.14
GRINDWELL,Industial Products - Abrasives ,SmallCap,-0.09,-0.05,0.03,0.07,0.05,0.09,0.07,0.06,0.12,0.14,0.22
GRINFRA,Infra - Road & Highways,SmallCap,0.03,0.15,0.11,0.14,0.11,0.15,0.08,0.09,0.09,0.08,0.15
GRWRHITECH,Industrial Products - Plastic,SmallCap,-0.15,-0.12,-0.14,-0.13,-0.12,-0.1,-0.04,-0.02,-0.01,0.01,0.01
GUFICBIO,Healthcare - API/Drug,SmallCap,0.12,0.11,0.11,0.12,0.14,0.16,0.17,0.17,0.19,0.25,0.32
GULFOILLUB,Petro - Lubricants,SmallCap,-0.01,0.02,0.04,0.03,0.06,0.06,0.06,0.14,0.13,0.16,0.16
HARIOMPIPE,Metals - Pipe & Tube,SmallCap,0.01,0.01,-0.0,0.01,-0.0,-0.02,-0.31,-0.25,-0.19,0.04,0.13
HBLENGINE,Railways,SmallCap,0.28,0.27,0.27,0.27,0.26,0.26,0.12,0.25,0.15,0.17,0.46
HCG,Healthcare - Hospitals,SmallCap,0.31,0.3,0.27,0.27,0.26,0.23,0.08,0.07,0.05,0.08,0.43
HCLTECH,IT - Software/Consulting,LargeCap,0.1,0.07,0.01,0.01,-0.05,-0.04,-0.0,0.02,-0.01,0.06,0.12
HDFCAMC,Financials - AMC,MidCap,0.02,0.01,-0.02,-0.03,-0.02,-0.02,0.05,0.11,0.12,0.08,0.36
HEMIPROP,Real Estate,SmallCap,0.09,0.52,0.31,0.27,0.25,0.23,0.21,0.2,0.2,0.18,0.52
HERANBA,Agrochem - Pesticides,SmallCap,0.22,0.21,0.19,0.18,0.2,0.2,0.23,0.06,0.06,0.08,0.34
HEXT,IT - Enterprise,SmallCap,0.06,0.03,-0.03,-0.03,-0.05,-0.01,0.05,0.03,-0.0,0.01,0.2
HIKAL,Healthcare - API/Drug,SmallCap,-0.04,-0.04,-0.06,-0.05,-0.05,-0.03,0.01,0.02,0.05,0.07,0.07
HINDALCO,Metals - Aluminium,LargeCap,0.09,0.14,0.12,0.15,0.11,0.12,0.11,0.12,0.08,0.06,0.15
HINDCOPPER,Metals - Copper,SmallCap,0.08,0.1,0.06,0.08,0.07,0.08,0.03,-0.01,0.44,0.35,0.44
HINDZINC,Metals - Non Ferrous,MidCap,0.02,-0.02,-0.05,-0.02,-0.08,-0.09,-0.09,-0.01,0.15,0.07,0.15
HITECH,Metals - Pipe & Tube,SmallCap,-0.17,-0.12,-0.09,-0.11,-0.14,-0.24,-0.24,-0.11,0.27,0.28,0.28
HITECHGEAR,Auto - Drivetrain,SmallCap,-0.06,-0.11,-0.13,-0.08,-0.08,-0.06,-0.02,0.0,0.08,0.08,0.22
HLEGLAS,Industial Products - Glasslined Equipments,SmallCap,0.41,0.41,0.41,0.38,0.39,0.39,0.38,0.41,0.4,0.4,0.56
HONASA,Consumption - Personal,SmallCap,-0.51,-0.5,-0.51,-0.51,-0.51,-0.51,-0.51,-0.52,-0.01,0.04,0.04
HUHTAMAKI,Packaging - Misc,SmallCap,0.07,0.04,0.07,0.11,0.03,0.03,0.0,0.01,-0.01,0.01,0.11
HYUNDAI,Auto - Cars/UVs,LargeCap,0.12,0.13,0.1,0.12,0.11,0.09,0.07,0.08,0.08,0.09,0.35
