Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,CMF_52D_High
USHAMART,Metals - Wires,SmallCap,0.1,0.08,0.11,0.14,0.15,0.19,0.15,0.13,0.12,0.09,0.41
UTIAMC,Financials - AMC,SmallCap,-0.07,-0.05,0.01,0.01,-0.05,-0.01,-0.05,-0.01,0.02,0.01,0.1
VADILALIND,Consumption - Dairy,SmallCap,-0.18,-0.19,-0.23,-0.17,-0.14,0.01,-0.01,-0.02,0.01,0.06,0.07
VAIBHAVGBL,Consumption - Jewelry,SmallCap,-0.03,-0.03,0.01,0.05,0.07,0.04,0.02,0.01,0.02,0.05,0.07
VALIANTORG,Chemicals - Specialty - Diversified,SmallCap,-0.01,-0.13,-0.17,-0.03,0.05,0.26,0.21,0.2,0.15,0.12,0.26
VARROC,Auto - Lighting & Electronics,SmallCap,0.08,0.11,0.05,0.2,-0.01,0.11,0.09,0.06,0.06,0.13,0.2
VASCONEQ,Infra - Residential & Commercial Buildings,SmallCap,-0.17,-0.26,-0.17,0.06,-0.02,0.01,0.01,-0.03,-0.01,0.04,0.13
VEEDOL,Petro - Lubricants,SmallCap,0.01,0.01,-0.02,-0.03,-0.04,0.02,0.09,0.3,0.37,0.62,0.62
VGUARD,Consumption - Appliances,SmallCap,0.06,0.07,0.08,0.12,0.16,0.17,0.13,0.15,0.15,0.15,0.2
VIMTALABS,Healthcare - CRAMS/CDMO,SmallCap,0.17,0.22,0.17,0.23,0.16,0.18,0.18,0.16,0.13,0.14,0.57
VIPIND,Consumption - Luggage,SmallCap,0.03,-0.01,0.01,0.01,-0.03,0.07,0.12,0.1,0.13,0.12,0.37
VMM,Consumption - Retail,MidCap,-0.0,-0.0,-0.03,-0.03,-0.03,0.0,-0.01,-0.01,-0.01,0.05,0.36
VOLTAS,Consumption - Appliances,MidCap,0.21,0.21,0.14,0.17,0.16,0.15,0.02,0.05,0.03,0.03,0.25
VTL,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,0.31,0.31,0.31,0.31,0.31,0.32,0.34,0.33,0.33,0.33,0.53
WAAREEENER,Power - Green Equipment,MidCap,0.07,0.09,0.09,0.04,0.03,0.08,0.13,0.26,0.21,0.18,0.26
WAAREERTL,Power - Green - IPP,SmallCap,-0.05,-0.03,-0.02,-0.05,-0.1,-0.05,-0.05,0.11,0.06,0.05,0.53
WALCHANNAG,Industial Products - Process Equipment & Fabrication,SmallCap,-0.03,-0.01,-0.01,0.0,0.13,0.27,0.33,0.26,0.31,0.27,0.33
WCIL,Transport - Logistics,SmallCap,0.11,0.1,0.09,0.13,0.08,0.11,0.1,0.09,0.09,0.11,0.15
WELCORP,Metals - Pipe & Tube,SmallCap,-0.13,-0.07,-0.07,-0.05,-0.08,-0.01,-0.02,-0.07,-0.06,0.12,0.31
WELENT,Infra - Road & Highways,SmallCap,-0.06,-0.03,-0.04,0.03,0.02,0.08,0.07,0.14,0.13,0.16,0.16
WELSPUNLIV,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,-0.11,-0.15,-0.13,-0.07,-0.15,-0.12,0.25,0.22,0.21,0.2,0.25
WESTLIFE,Leisure - Restaurants,SmallCap,0.27,0.27,0.24,0.26,0.26,0.26,0.27,0.25,0.28,0.28,0.39
WHEELS,Auto - Wheels ,SmallCap,-0.35,-0.32,-0.19,-0.14,-0.11,-0.14,-0.17,-0.2,-0.15,0.03,0.03
WONDERLA,Leisure - Misc,SmallCap,-0.1,-0.08,-0.07,0.02,-0.02,0.09,0.11,0.08,0.2,0.17,0.2
WSTCSTPAPR,Paper,SmallCap,0.33,0.33,0.31,0.3,0.28,0.28,0.25,0.24,0.24,0.24,0.44
ZENSARTECH,IT - Enterprise,SmallCap,-0.04,-0.09,-0.09,-0.08,-0.1,-0.1,0.08,0.06,0.08,0.06,0.35
ZFCVINDIA,Auto - Suspension & Axles,SmallCap,0.17,0.09,0.03,0.05,0.1,0.08,0.05,0.03,-0.02,0.04,0.22
ZOTA,Healthcare - Naturals/OTC/Consumers,SmallCap,0.09,0.18,0.16,0.15,0.25,0.23,0.24,0.11,0.16,0.09,0.49
ZYDUSWELL,Consumption - FMCG Conglomerates ,SmallCap,0.36,0.4,0.44,0.36,0.31,0.34,0.35,0.37,0.34,0.32,0.44
