Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,BreakoutCount
CUPID,Consumption - Personal,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
CYIENTDLM,Electronics - EMS,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
DABUR,Consumption - Personal,LargeCap,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,2
DAMCAPITAL,Financials - Broking,SmallCap,Other,Breakout,Other,Other,Other,Other,Breakout,Other,Other,Breakout,3
DATAPATTNS,Defense - Technology & Electronics,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
DBCORP,Media - Publishing,SmallCap,Other,Other,Other,Breakout,Other,Other,Breakout,Breakout,Other,Other,3
DBL,Infra - Road & Highways,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,3
DCXINDIA,Defense - Technology & Electronics,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
DDEVPLSTIK,Chemicals - Specialty - Plastics,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,2
DECCANCE,Infra - Cement,SmallCap,Other,Breakout,Other,Other,Other,Other,Breakout,Breakout,Other,Other,3
DEEDEV,Industial Products - Process Equipment & Fabrication,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
DELTACORP,Leisure - Misc,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
DEVYANI,Leisure - Restaurants,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
DHAMPURSUG,Agri - Sugar,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
DIACABS,Power - Wiring,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
DIAMONDYD,Consumption - Foods/Drinks,SmallCap,Breakout,Breakout,Breakout,Other,Breakout,Other,Other,Other,Other,Other,4
DIFFNKG,Industial Products - Fabrication,SmallCap,Other,Other,Breakout,Breakout,Other,Other,Other,Breakout,Other,Other,3
DLF,Real Estate,LargeCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
DODLA,Consumption - Dairy,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
DOLATALGO,Financials - Misc,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
DOLLAR,Textiles - Innerwear,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
DOMS,Consumption - Stationary,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
DREDGECORP,Engineering - Dredging,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
E2E,IT - Cloud Infra,SmallCap,Breakout,Breakout,Breakout,Breakout,Other,Other,Other,Other,Other,Other,4
EICHERMOT,Auto - 2W,LargeCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
EIHAHOTELS,Leisure - Hotels,SmallCap,Other,Breakout,Other,Other,Other,Breakout,Other,Other,Other,Other,2
ELECON,Electronics - Components,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
ELECTHERM,Metals - Iron & Steel,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
EMIL,Consumption - Retail,SmallCap,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,2
EMSLIMITED,Waste Management,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
ENGINERSIN,Infra - Consulting,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Breakout,3
EPACK,Consumption - Appliances,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
ESTER,Packaging - Flex,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
EVEREADY,Consumption - Misc,SmallCap,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,2
EXICOM,Telecom - Equipments,SmallCap,Breakout,Other,Other,Other,Other,Other,Breakdown,Other,Other,Other,1
FAZE3Q,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
FEDFINA,Financials - NBFC,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
FILATEX,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Other,Other,Breakout,Other,Breakout,Other,Other,Other,Other,Other,2
FINEORG,Chemicals - Specialty - Diversified,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
FINPIPE,Infra - Plastic Products,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
FIRSTCRY,Consumption - Retail,SmallCap,Other,Other,Breakdown,Breakout,Breakout,Other,Other,Other,Other,Other,2
FLAIR,Consumption - Stationary,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
FLUOROCHEM,Chemicals - Specialty - Refrigeration,MidCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
FUSION,Financials - MFI,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
GABRIEL,Auto - Suspension & Axles,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
GAEL,Agri - Misc,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
GALLANTT,Metals - Iron & Steel,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
GENESYS,IT - Services,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
GEOJITFSL,Financials - Broking,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
GEPIL,Power - Equipment,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
GILLETTE,Consumption - Personal,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
GIPCL,Power - Generation,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
GLAND,Healthcare - CRAMS/CDMO,MidCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
GLENMARK,Healthcare - Formulations - Generic,MidCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
GMBREW,Beverages - Alcohol,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,2
GMDCLTD,Mining - Coal/Minerals,SmallCap,Other,Breakout,Other,Breakout,Breakout,Other,Other,Other,Breakout,Other,4
GMRP&UI,Infra - Heavy Engineering,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
GOCOLORS,Textiles - Fashion Retail,SmallCap,Breakout,Breakout,Other,Other,Other,Breakout,Other,Other,Other,Other,3
GODAVARIB,Chemicals - Diversified,SmallCap,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,2
GOKULAGRO,Agri - Edible Oils,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,2
GOODLUCK,Metals - Pipe & Tube,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Breakdown,Other,Other,1
GOPAL,Consumption - Foods/Drinks,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,2
GPIL,Metals - Iron & Steel,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
GPPL,Infra - Ports,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
GPTINFRA,Infra - Heavy Engineering,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
