Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,BreakoutCount
PDMJEPAPER,Paper - Speciality,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PDSL,Textiles - Exports,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PEL,Financials - NBFC,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
PFOCUS,Media - Entertainment,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,2
PGHL,Healthcare - Naturals/OTC/Consumers,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
POCL,Metals - Non Ferrous,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
POWERINDIA,Power - Equipment,MidCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
PRECAM,Auto - Drivetrain,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
PRIVISCL,Chemicals - Specialty - FMCG,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Breakout,Other,Other,2
PSPPROJECT,Infra - Residential & Commercial Buildings,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
PUNJABCHEM,Agrochem - Pesticides,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
RALLIS,Agrochem - Pesticides,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
RAMCOIND,Infra - Cement,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
RAMCOSYS,IT - Product - Software,SmallCap,Breakout,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,2
RAMRAT,Power - Wiring,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
REDINGTON,IT - Hardware,SmallCap,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,2
RELTD,Power - Green - Misc,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
RISHABH,Electronics - Automation,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
ROHLTD,Leisure - Hotels,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
ROTO,Industrial - Pumps/Engines,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
RPOWER,Power - Generation,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,Other,2
SAGCEM,Infra - Cement,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Breakout,2
