Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,RS_12M_High
KIMS,Healthcare - Hospitals,SmallCap,138.84,131.79,114.68,147.43,150.05,170.53,152.05,176.25,147.74,139.66,176.25
KINGFA,Industrial Products - Plastic,SmallCap,136.54,131.01,147.09,143.24,137.9,160.49,153.29,124.28,128.9,136.62,160.49
KIOCL,Metals - Iron & Steel,SmallCap,99.93,78.44,47.85,57.8,53.85,65.06,63.04,69.95,102.48,119.85,119.85
KIRIINDUS,Chemicals - Dyes,SmallCap,142.69,141.29,135.53,195.22,149.34,192.38,166.17,156.5,141.88,182.23,195.22
KIRLOSBROS,Industrial - Pumps/Engines,SmallCap,213.64,188.03,172.46,148.47,121.15,95.99,104.54,81.47,111.09,110.37,213.64
KITEX,Textiles - Exports,SmallCap,272.36,229.49,201.11,281.96,331.61,403.02,379.56,293.37,150.33,115.57,403.02
KMEW,Engineering - Dredging,SmallCap,367.48,320.3,290.2,281.77,292.19,348.23,350.82,332.56,342.92,448.89,448.89
KOLTEPATIL,Real Estate,SmallCap,67.28,51.65,53.1,66.37,58.6,84.04,100.83,108.11,109.85,122.16,122.16
KOTAKBANK,Financials - Private Bank,LargeCap,86.03,96.27,111.91,115.44,126.31,112.39,112.94,110.25,113.73,109.45,126.31
KPEL,Power - Green - EPC,SmallCap,277.14,204.54,226.92,241.58,227.51,339.3,304.36,296.39,268.47,255.45,339.3
KPRMILL,Textiles - Mfg (Spin/Yarn/Integrated),MidCap,110.78,109.01,103.54,103.37,109.39,133.22,121.71,132.02,120.34,113.0,133.22
KRBL,Agri - Rice,SmallCap,73.67,70.96,78.31,93.99,97.74,120.32,121.32,121.68,145.5,136.37,145.5
KRISHANA,Agrochem - Fertilizers,SmallCap,74.26,80.64,78.25,91.5,113.92,135.82,161.18,199.55,241.42,243.6,243.6
KRN,Industrial Products - Misc,SmallCap,349.66,391.83,441.82,370.59,257.51,204.28,170.16,152.18,149.29,153.58,441.82
KROSS,Auto - Suspension & Axles,SmallCap,26.67,19.87,20.31,23.73,21.67,21.33,22.43,20.08,22.68,105.36,105.36
KSCL,Agri - Seeds,SmallCap,131.04,115.95,149.65,192.37,153.52,154.53,118.67,104.42,114.54,121.72,192.37
LAURUSLABS,Healthcare - API/Drug,SmallCap,128.76,141.54,129.0,148.41,124.65,132.46,160.65,189.87,188.3,198.77,198.77
LEMONTREE,Leisure - Hotels,SmallCap,117.3,90.0,86.75,93.37,83.24,93.02,91.45,100.22,127.41,149.1,149.1
LGHL,Real Estate,SmallCap,339.13,272.56,249.41,176.64,166.45,148.05,194.87,240.0,262.11,294.85,339.13
LLOYDSENT,Metals - Iron & Steel,SmallCap,64.39,72.08,82.08,77.25,93.74,102.18,125.76,120.55,112.51,109.51,125.76
LLOYDSME,Metals - Iron & Steel,MidCap,188.76,202.11,170.31,202.99,150.59,186.41,204.19,207.23,171.93,143.57,207.23
LTF,Financials - NBFC,MidCap,75.53,77.62,80.09,91.91,91.51,101.95,107.0,113.45,132.47,131.37,132.47
LTFOODS,Agri - Rice,SmallCap,189.56,183.0,187.79,192.74,149.21,194.91,178.63,167.31,114.74,118.81,194.91
LUMAXIND,Auto - Lighting & Electronics,SmallCap,86.21,81.63,101.03,99.72,85.72,105.09,122.66,136.1,148.75,166.68,166.68
LUMAXTECH,Auto - Lighting & Electronics,SmallCap,153.86,128.8,103.35,106.08,101.22,152.23,189.86,197.23,230.61,202.05,230.61
M&M,Auto - Cars/UVs,LargeCap,159.81,167.3,132.92,131.71,126.17,108.12,104.49,110.97,117.83,117.44,167.3
MAHSCOOTER,Financials - Holding/Investing,SmallCap,119.18,114.14,122.51,148.6,136.97,157.12,152.18,173.8,168.37,157.44,173.8
MANAPPURAM,Financials - NBFC,SmallCap,100.7,98.06,113.32,127.61,107.14,128.82,124.63,119.12,125.08,148.95,148.95
MANGCHEFER,Agrochem - Fertilizers,SmallCap,115.9,107.32,106.38,145.8,179.05,227.41,202.98,258.81,272.04,242.09,272.04
MANINDS,Metals - Pipe & Tube,SmallCap,105.57,61.51,53.98,69.77,63.11,95.63,93.94,96.8,95.04,120.22,120.22
MANKIND,Healthcare - Formulations - OTC,MidCap,133.53,112.54,106.57,100.05,96.86,104.98,102.52,127.52,102.63,105.6,133.53
MANORAMA,Consumption - Foods/Drinks,SmallCap,260.53,259.75,239.68,252.82,186.5,218.59,216.86,217.87,168.93,169.12,260.53
MARICO,Agri - Edible Oils,MidCap,107.16,117.42,114.19,124.42,127.41,109.51,110.88,106.07,115.88,107.71,127.41
MARUTI,Auto - Cars/UVs,LargeCap,96.87,111.68,105.15,86.81,88.83,90.44,96.96,96.84,123.2,118.72,123.2
MASFIN,Financials - NBFC,SmallCap,87.28,70.6,68.82,82.15,83.31,92.88,98.53,107.77,110.38,112.8,112.8
MAXHEALTH,Healthcare - Hospitals,MidCap,151.09,125.61,122.5,127.01,121.4,136.24,127.64,136.1,138.27,122.77,151.09
MAZDOCK,Defense - Ship,MidCap,179.54,201.57,203.12,269.27,241.83,198.88,142.61,106.48,126.81,142.38,269.27
MBAPL,Agrochem - Fertilizers,SmallCap,71.33,99.57,106.74,110.53,103.61,134.06,171.7,187.18,197.87,206.07,206.07
MCX,IT - Platform - Exchange/RTA,SmallCap,179.06,155.19,131.77,150.54,138.54,165.5,214.48,180.66,147.31,141.09,220.57
MEDANTA,Healthcare - Hospitals,MidCap,103.34,83.67,83.73,86.1,76.95,90.75,81.76,106.36,125.1,133.47,133.47
MEDPLUS,IT - Platform - Healthcare/Pharma,SmallCap,101.71,93.29,101.99,104.89,107.46,120.3,124.71,137.88,128.03,129.29,137.88
MFSL,Financials - Life,MidCap,107.28,115.82,102.27,108.71,119.92,148.99,159.5,136.01,154.0,136.69,159.5
MOBIKWIK,IT - Fintech,SmallCap,760.71,562.89,406.29,438.16,465.76,509.54,416.32,286.11,315.66,483.31,760.71
MOLDTKPAC,Packaging - Rigid,SmallCap,66.62,60.24,55.82,51.1,54.65,80.45,82.27,100.07,103.61,110.76,110.76
MOSCHIP,IT - Hardware,SmallCap,,,209.43,191.14,193.35,274.46,333.62,343.86,279.31,411.64,411.64
MOTILALOFS,Financials - Broking,MidCap,282.6,131.7,144.82,140.19,102.05,132.86,133.22,139.38,123.0,127.09,285.0
MPSLTD,Media - Publishing,SmallCap,107.23,164.27,158.72,176.37,129.04,136.65,128.17,111.87,92.87,105.33,176.37
MRF,Auto - Tyres,MidCap,92.66,73.66,71.67,80.19,93.93,100.78,103.47,104.7,108.0,109.56,109.56
MSUMI,Auto - Electricals & Electronics,MidCap,86.68,79.74,66.56,74.83,75.02,77.89,74.62,75.9,91.43,105.86,105.86
MUTHOOTFIN,Financials - NBFC,MidCap,132.99,149.65,162.54,152.8,117.15,119.8,137.48,143.17,138.63,148.82,162.54
NACLIND,Agrochem - Pesticides,SmallCap,83.45,87.47,79.5,171.77,248.56,237.39,278.27,475.52,519.93,446.58,519.93
NAM-INDIA,Financials - AMC,MidCap,149.19,102.82,98.91,116.57,100.79,112.73,116.82,126.88,120.46,131.51,149.19
NATIONALUM,Metals - Aluminium,MidCap,147.46,125.57,113.15,109.23,78.46,85.66,96.91,95.99,105.34,106.14,218.03
NAVA,Power - Misc,SmallCap,207.31,172.07,157.79,202.82,168.07,184.23,153.02,138.64,149.18,126.29,229.55
NAVINFLUOR,Chemicals - Specialty - Refrigeration,SmallCap,77.42,112.19,123.73,128.35,122.84,121.7,126.89,133.78,146.82,143.07,146.82
NAVNETEDUL,Media - Publishing,SmallCap,89.37,84.54,90.73,96.23,89.94,86.53,85.54,92.83,100.35,110.0,110.0
NAZARA,IT - Gaming/Entertainment,SmallCap,108.74,97.8,121.23,134.01,146.53,167.98,140.6,150.12,129.17,115.25,167.98
NDRAUTO,Auto - Drivetrain,SmallCap,153.91,183.97,131.69,146.48,149.52,191.61,256.32,195.71,131.09,128.11,256.32
NELCAST,Metals - Casting/Forging,SmallCap,71.98,60.92,62.56,61.31,53.77,92.56,93.36,107.12,104.21,109.17,109.17
NESCO,Real Estate,SmallCap,100.34,103.41,102.29,104.16,101.0,98.97,118.67,149.59,153.54,166.04,166.04
NETWEB,IT - Hardware,SmallCap,210.95,118.7,85.01,89.44,78.02,77.67,66.92,88.65,83.81,117.8,284.14
NEULANDLAB,Healthcare - API/Drug,SmallCap,238.37,203.51,147.21,181.26,146.7,173.29,150.86,152.76,111.19,130.27,297.76
NH,Healthcare - Hospitals,SmallCap,97.33,97.35,106.95,125.12,127.06,133.49,169.52,153.58,142.79,145.9,169.52
NIBE,Defense - Mfg,SmallCap,,,549.34,553.52,632.89,918.78,1011.23,1001.93,688.72,668.86,1011.23
NITCO,Infra - Ceramics/Granites,SmallCap,366.96,259.07,153.36,202.11,172.95,174.05,175.66,165.82,138.87,141.95,428.54
NSIL,Financials - Holding/Investing,SmallCap,218.8,169.82,147.21,172.04,176.14,188.45,151.9,150.26,151.2,149.6,218.8
NUVOCO,Infra - Cement,SmallCap,84.16,89.63,93.96,95.43,87.58,103.59,91.8,122.3,138.66,124.73,138.66
NYKAA,IT - Platform - Ecommerce,MidCap,86.52,95.62,100.56,104.97,102.15,112.68,111.14,109.42,114.48,126.84,126.84
ONESOURCE,Healthcare - Formulations,SmallCap,,2522.46,2189.96,3226.96,2942.36,3450.65,4298.19,3255.66,3041.86,3698.86,4298.19
ORIENTTECH,IT - Services,SmallCap,342.91,299.71,248.73,253.51,234.96,233.25,246.28,225.14,94.07,120.8,342.91
PAGEIND,Textiles - Innerwear,MidCap,113.39,110.77,117.33,117.64,121.82,117.43,118.91,115.96,107.72,106.4,121.82
PANACEABIO,Healthcare - Biotech,SmallCap,229.14,191.91,193.54,344.61,362.74,368.64,299.59,285.54,196.62,147.11,368.64
PARADEEP,Agrochem - Fertilizers,SmallCap,149.31,130.73,113.52,147.86,191.56,224.52,180.15,236.31,269.69,207.83,269.69
PARAGMILK,Consumption - Dairy,SmallCap,74.42,76.45,59.05,68.24,78.84,113.65,119.13,127.47,122.76,159.41,159.41
PARAS,Defense - Technology & Electronics,SmallCap,128.91,129.52,120.22,148.65,173.87,159.39,106.71,103.64,105.34,134.04,173.87
PATANJALI,Agri - Edible Oils,MidCap,103.99,106.58,113.76,128.25,117.21,106.36,97.59,109.73,94.57,109.91,128.25
PAYTM,IT - Fintech,MidCap,147.22,94.18,176.14,184.71,215.71,224.69,216.42,222.03,200.51,183.69,224.69
PDMJEPAPER,Paper - Speciality,SmallCap,317.06,163.14,147.25,146.84,121.72,104.11,98.86,98.2,111.09,114.5,317.06
PEL,Financials - NBFC,SmallCap,109.01,103.21,94.76,110.41,97.24,126.92,116.14,121.08,110.91,106.44,126.92
PENIND,Industial Products - Precision Components,SmallCap,142.61,99.22,115.97,134.35,124.61,134.48,134.48,124.69,138.89,148.53,151.2
PFOCUS,Media - Entertainment,SmallCap,118.9,71.77,84.42,87.77,96.57,98.65,106.67,101.25,104.5,138.82,138.82
PGHL,Healthcare - Naturals/OTC/Consumers,SmallCap,97.3,96.92,98.25,103.73,96.15,111.31,109.57,113.12,126.13,119.0,126.13
PGIL,Textiles - Exports,SmallCap,209.59,223.63,203.3,228.71,147.17,207.53,190.35,147.53,123.99,149.35,228.71
POCL,Metals - Non Ferrous,SmallCap,309.29,168.32,158.48,195.73,208.1,215.84,201.77,190.18,120.68,129.79,359.08
POLICYBZR,IT - Fintech,MidCap,243.91,159.2,124.57,134.24,119.36,123.89,122.83,125.63,103.23,114.84,243.91
POLYCAB,Power - Wiring,MidCap,121.86,128.48,98.6,96.48,90.49,80.89,91.46,100.19,107.52,107.32,128.48
POONAWALLA,Financials - NBFC,SmallCap,66.33,59.98,59.85,71.45,71.04,81.84,107.2,115.26,115.12,114.63,115.26
POWERINDIA,Power - Equipment,MidCap,251.62,200.48,186.74,172.3,140.9,163.15,145.81,174.4,163.23,142.84,263.18
PRABHA,Oil and Gas - Upstream,SmallCap,,,,68.91,68.34,78.92,112.2,123.55,106.78,107.79,123.55
PREMEXPLN,Defense - Explosives,SmallCap,151.1,152.45,111.28,105.0,79.23,104.16,71.14,66.88,92.07,109.02,152.45
PRICOLLTD,Auto - Electricals & Electronics,SmallCap,131.41,121.87,98.03,110.06,93.94,93.75,87.65,87.19,91.89,114.54,131.41
PRIVISCL,Chemicals - Specialty - FMCG,SmallCap,137.68,131.87,123.89,163.31,145.85,179.76,147.65,161.25,155.5,163.4,179.76
PRUDENT,Financials - WMC,SmallCap,208.83,131.58,120.46,176.78,133.22,162.88,134.22,128.22,118.89,115.88,208.83
PSPPROJECT,Infra - Residential & Commercial Buildings,SmallCap,77.84,78.12,89.07,87.37,87.66,90.04,104.28,111.39,103.79,125.82,125.82
