Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,CMF_12M_High
BDL,Defense - Mfg,MidCap,-0.35,-0.04,-0.18,0.08,0.32,0.5,0.48,0.29,0.27,0.27,0.5
BEL,Defense - Technology & Electronics,LargeCap,0.18,0.26,0.14,0.29,0.35,0.39,0.56,0.37,0.5,0.45,0.56
BELRISE,Auto - Drivetrain,SmallCap,,,,,,0.28,0.12,0.09,0.19,0.32,0.32
BEML,Defense - Mfg,SmallCap,-0.2,0.0,-0.04,0.22,0.19,0.35,0.29,0.14,0.19,0.15,0.35
BEPL,Chemicals - Specialty - Plastics,SmallCap,-0.03,-0.15,-0.51,-0.29,-0.12,-0.01,0.11,0.15,0.24,0.2,0.24
BERGEPAINT,Consumption - Paints,MidCap,0.2,0.08,-0.0,-0.23,-0.08,0.01,0.33,0.21,0.17,0.14,0.44
BHARATFORG,Auto - Forgings,MidCap,-0.27,-0.49,-0.57,-0.3,-0.13,0.07,0.18,0.12,0.15,0.14,0.18
BHARTIARTL,Telecom - Mobile/FixedLine,LargeCap,0.19,0.16,-0.16,-0.13,0.1,-0.01,0.2,0.09,0.16,0.09,0.38
BHARTIHEXA,Telecom - Mobile/FixedLine,MidCap,0.1,0.03,-0.18,-0.14,0.05,0.15,0.3,0.3,0.5,0.41,0.5
BHEL,Power - Equipment,MidCap,0.02,-0.07,-0.13,-0.1,0.05,0.07,0.22,0.22,0.38,0.32,0.38
BIKAJI,Consumption - Foods/Drinks,SmallCap,-0.05,-0.08,-0.25,-0.33,-0.18,-0.07,0.02,-0.01,0.2,0.22,0.24
BIOCON,Healthcare - Biotech,MidCap,0.14,-0.07,-0.26,-0.11,-0.05,-0.19,-0.09,0.16,0.24,0.2,0.29
BIRLANU,"Furniture, Home Furnishing",SmallCap,-0.07,-0.2,-0.37,-0.37,-0.18,0.03,0.07,0.14,0.08,0.04,0.14
BLACKBUCK,IT - Fintech,SmallCap,0.44,0.4,0.37,0.38,0.38,0.33,-0.36,-0.2,0.36,0.35,0.44
BLISSGVS,Healthcare - Formulations,SmallCap,0.32,0.15,0.0,-0.02,-0.03,-0.29,-0.16,0.08,0.06,0.07,0.39
BLKASHYAP,Infra - Construction,SmallCap,0.12,-0.13,-0.46,-0.17,-0.03,0.03,0.0,0.28,0.34,0.25,0.34
BLSE,IT - E-Governance,SmallCap,-0.11,-0.09,-0.51,-0.4,-0.43,-0.03,-0.0,0.05,0.13,0.29,0.29
BOMDYEING,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,0.09,-0.11,-0.11,-0.24,-0.45,-0.2,0.12,-0.07,-0.02,0.01,0.35
BORORENEW,Power - Green Equipment,SmallCap,0.23,-0.13,-0.11,-0.07,-0.06,0.08,-0.27,0.06,0.01,0.03,0.26
BOROSCI,Industrial Products - Glass,SmallCap,-0.4,-0.38,-0.54,-0.32,-0.43,-0.33,0.1,-0.01,-0.02,0.02,0.1
BOSCHLTD,Auto - Electricals & Electronics,LargeCap,0.03,-0.15,-0.2,-0.37,-0.09,-0.07,0.17,0.61,0.69,0.54,0.69
BPCL,Refineries & Marketing,LargeCap,0.27,-0.01,-0.29,-0.29,-0.04,0.05,0.18,0.23,0.3,0.15,0.3
BRITANNIA,Consumption - Foods/Drinks,LargeCap,-0.04,0.06,-0.18,-0.13,0.04,0.21,0.38,0.29,0.6,0.58,0.6
BSE,IT - Platform - Exchange/RTA,MidCap,0.31,0.19,-0.01,0.21,0.26,0.41,0.39,0.36,0.42,0.16,0.42
BSHSL,Agri - Seeds,SmallCap,-0.12,0.03,-0.09,-0.29,-0.25,-0.34,-0.1,-0.16,-0.01,0.08,0.08
CAMLINFINE,Chemicals - Specialty - FMCG,SmallCap,0.28,0.02,0.08,0.2,0.24,0.3,0.3,0.37,0.43,0.44,0.44
CAMS,IT - Platform - Exchange/RTA,SmallCap,0.08,-0.21,-0.42,-0.23,-0.15,-0.07,0.08,0.16,0.29,0.22,0.29
CANBK,Financials - PSU Bank,LargeCap,0.12,0.07,-0.11,-0.18,-0.09,0.08,0.23,0.13,0.16,0.14,0.31
CANFINHOME,Financials - Housing,SmallCap,-0.14,-0.23,-0.39,-0.38,-0.32,-0.18,-0.09,0.07,0.25,0.18,0.25
CAPLIPOINT,Healthcare - CRAMS/CDMO,SmallCap,0.36,0.25,-0.1,0.24,0.15,0.09,0.02,0.11,0.3,0.25,0.37
CARERATING,Financials - Ratings,SmallCap,0.33,0.38,0.33,0.27,-0.07,0.32,0.21,0.13,0.1,0.16,0.41
CARRARO,Auto - Drivetrain,SmallCap,-0.1,-0.47,-0.63,-0.63,-0.28,-0.19,-0.07,-0.02,0.25,0.43,0.43
CARTRADE,IT - Platform - Ecommerce,SmallCap,0.23,0.32,0.28,0.19,0.18,-0.01,0.09,0.2,0.34,0.3,0.34
CARYSIL,Consumption - Kitchen/ Accessories,SmallCap,-0.12,-0.11,-0.48,-0.11,-0.13,0.16,0.13,0.17,0.24,0.24,0.24
CCL,Agri - Tea/Coffee,SmallCap,0.05,-0.13,-0.31,-0.04,-0.07,0.58,0.58,0.58,0.59,0.63,0.63
CDSL,IT - Platform - Exchange/RTA,SmallCap,0.21,0.0,-0.17,-0.02,0.01,0.1,0.31,0.31,0.38,0.34,0.39
CEATLTD,Auto - Tyres,SmallCap,0.04,0.0,-0.07,-0.15,0.08,0.09,0.21,0.07,0.12,0.06,0.23
CELLO,Consumption - Homeware,SmallCap,-0.14,-0.29,-0.43,-0.53,-0.42,-0.33,-0.22,-0.22,-0.16,0.11,0.11
CENTENKA,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,-0.13,-0.16,-0.45,-0.28,-0.21,-0.27,0.04,0.1,0.17,0.09,0.17
