Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,RS_52W_High
GRMOVER,Agri - Rice,SmallCap,191.48,185.8,172.1,164.81,149.5,142.25,143.22,141.67,142.15,133.45,233.29
GRSE,Defense - Ship,SmallCap,104.76,116.33,111.61,122.54,131.11,144.38,134.16,131.97,146.51,138.14,223.82
GRWRHITECH,Industrial Products - Plastic,SmallCap,161.04,149.86,133.04,99.35,85.52,88.71,84.51,83.51,102.82,105.52,341.75
GVT&D,Power - Equipment,MidCap,152.89,155.36,164.86,158.79,162.85,161.19,167.56,175.91,164.22,186.48,420.79
HAL,Defense - Mfg,LargeCap,95.21,92.8,95.11,94.02,95.15,92.57,95.64,94.07,103.15,113.84,186.01
HBLENGINE,Railways,SmallCap,100.3,91.0,99.98,98.19,119.38,121.6,133.46,141.59,139.53,152.01,171.36
HCG,Healthcare - Hospitals,SmallCap,162.48,159.9,169.77,170.4,185.02,176.29,179.77,171.79,161.93,168.41,185.02
HDFCAMC,Financials - AMC,MidCap,135.07,135.22,137.01,134.59,129.76,132.63,127.68,126.7,132.38,134.97,137.01
HDFCBANK,Financials - Private Bank,LargeCap,119.66,123.87,122.03,119.64,121.56,120.67,120.13,118.23,117.24,114.28,123.87
HDFCLIFE,Financials - Life,LargeCap,114.25,108.38,105.5,108.44,113.99,107.99,107.98,103.33,111.59,112.44,128.61
HEG,Metals - Foundry Support,SmallCap,129.53,121.5,124.56,122.86,126.36,120.15,119.42,124.95,126.51,116.74,140.62
HEUBACHIND,Chemicals - Dyes,SmallCap,119.23,118.23,123.1,118.62,133.34,109.21,104.36,106.16,108.97,115.69,142.22
HEXT,IT - Enterprise,SmallCap,372.87,300.47,319.64,345.52,337.2,400.61,362.44,342.37,361.45,371.28,400.61
HINDALCO,Metals - Aluminium,LargeCap,100.16,103.86,104.41,108.02,109.23,102.59,103.7,112.0,113.68,111.66,128.48
HIRECT,Electronics - Automation,SmallCap,188.17,188.04,229.79,212.56,235.28,171.08,169.88,185.78,191.83,209.12,250.29
HLEGLAS,Industial Products - Glasslined Equipments,SmallCap,94.43,95.26,100.78,103.62,103.15,123.92,132.69,134.85,130.16,133.68,134.85
HOMEFIRST,Financials - Housing,SmallCap,124.44,139.32,117.41,115.16,123.93,123.8,109.19,110.58,109.33,105.04,141.87
HUBTOWN,Real Estate,SmallCap,147.97,143.17,123.02,124.47,129.89,127.84,134.6,125.63,128.43,128.44,384.7
HYUNDAI,Auto - Cars/UVs,LargeCap,1000.29,1007.24,1023.46,952.38,998.27,1081.37,1131.03,1206.33,1181.43,1173.82,1206.33
ICEMAKE,Transport - Cold chain,SmallCap,104.35,93.5,87.31,98.81,100.98,103.46,108.35,106.12,118.46,123.89,184.85
ICICIBANK,Financials - Private Bank,LargeCap,112.19,122.35,123.75,122.58,119.78,119.13,117.48,116.63,114.48,109.1,123.75
IDBI,Financials - Private Bank,SmallCap,108.98,89.45,90.07,91.99,92.29,96.15,93.41,101.06,98.93,107.86,113.89
IKS,IT - Platform - Healthcare/Pharma,SmallCap,658.17,712.54,711.57,733.8,721.33,705.2,707.08,728.45,732.02,755.72,815.1
IMFA,Metals - Ferro Alloys,SmallCap,106.99,99.17,103.62,107.08,121.09,123.76,133.11,153.42,163.22,160.9,167.09
INDHOTEL,Leisure - Hotels,LargeCap,130.26,115.31,118.6,118.99,123.8,122.66,121.01,118.41,113.96,115.78,179.16
INDIACEM,Infra - Cement,SmallCap,98.26,95.99,97.93,96.75,100.71,102.28,108.67,109.25,107.73,113.32,148.87
INDIANB,Financials - PSU Bank,MidCap,110.59,109.64,104.88,112.67,121.02,122.0,118.94,127.47,135.47,140.65,140.65
INDIASHLTR,Financials - Housing,SmallCap,129.36,128.46,123.76,125.94,121.37,120.07,132.4,118.68,111.6,125.35,195.5
INDIGO,Transport - Misc,LargeCap,134.5,129.13,135.06,134.5,139.81,128.97,120.77,119.06,117.01,120.18,155.81
INDNIPPON,Auto - Electricals & Batteries,SmallCap,97.22,96.37,97.99,101.32,105.93,99.8,103.04,111.28,122.73,122.64,122.73
INDOTHAI,Financials - Broking,SmallCap,725.1,679.65,707.74,669.23,691.64,472.52,385.19,295.81,294.13,292.82,725.1
INDRAMEDCO,Healthcare - Hospitals,SmallCap,202.84,169.15,170.65,141.13,137.35,115.1,114.6,102.93,103.21,110.3,267.78
INNOVACAP,Healthcare - CRAMS/CDMO,SmallCap,158.66,148.45,143.88,153.18,135.33,131.42,141.65,121.44,110.57,111.02,199.18
INOXINDIA,Industrial Products - Misc,SmallCap,95.93,93.8,88.7,94.59,90.38,94.81,98.3,98.68,100.17,114.86,797.81
INTELLECT,IT - Software/Consulting,SmallCap,107.53,103.63,104.42,99.83,96.96,98.35,101.67,91.4,104.67,107.6,116.23
INTERARCH,Infra - Construction,SmallCap,234.03,237.97,221.71,257.54,207.85,200.65,183.03,174.4,167.78,163.71,257.54
